"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
1.60990990559559,1.61949268929357,1.63644695321543,1.67238421395328
1.51749777850688,1.37410405166389,1.9166712243568,2.11081706804494
1.62903849603813,1.54775471631359,1.98929859933745,2.0312934770318
1.5139096275481,1.08084260131248,1.32725978867322,1.5115937001248
1.9499766761977,1.05008845017866,1.45788613034926,1.57244533726211
1.42098099487394,0.779785502260413,1.65840317997917,1.80817375178464
1.66828555094332,1.0436336500103,2.46431558114267,2.09067262083278
1.33835259937517,1.07637136183519,1.67278799686443,1.76372226538789
1.6083049544603,1.05689137607337,1.6969721376483,1.89503262749011
3.29253520162128,1.07698438971793,1.82530357483037,2.1574877716107
1.53234386032183,1.22813093311472,1.39160545459922,1.75627543761321
2.2502719220704,1.08309164843514,0.986755604703807,2.0585525201447
1.72378620557028,1.56617601552582,2.12620787355028,2.12750999635454
2.14035647927479,1.04212562626631,2.4677071665879,2.06726465041227
2.51979272992318,1.08117435171796,2.01285836416366,2.09509508005659
2.33882492000786,1.19463454546409,2.02940768823399,1.99596001230042
1.33523099010707,1.38193242071817,1.61166291231458,2.50296019374192
1.67951980857537,1.24751985706633,1.56978450120396,1.49838485653781
1.70871604512036,1.01304396492758,1.32168773839236,1.82598167063942
1.88787639766771,1.18497239814737,1.67101394288699,1.81548130368546
1.55355230891989,1.61668905005535,1.83834115212706,1.92689104479386
1.46769436786402,1.5660727278056,1.33473053020937,1.48868367047742
1.41809704563251,1.27518217794878,1.15405228598729,1.81342387959881
2.39604012673777,0.934130106509823,1.39089755774865,1.6332821140992
2.5519687894252,0.853696888014174,1.23724652885322,1.76287775345219
1.95251536610264,1.12050472044653,1.2899940263834,1.7579707737053
1.92332112579048,1.38043147769403,1.50454241711203,1.41631621388399
1.41658050833889,1.21349219625257,1.77067592613766,1.67367032297445
1.92050842177864,1.64877525874908,1.3540759154827,2.08283080596003
1.26376710338389,1.32197021488668,2.01852756327562,1.53720007229466
1.11820742627336,1.07272299710545,1.06002685234066,1.61074563315368
1.23922245341025,1.27642349596413,1.35229621464031,1.18313744852187
1.13668806714016,1.53505175180852,1.19872047649613,1.73517113074124
1.3919538534991,1.46390195363664,1.52863907565111,1.84604576553764
1.61429350979792,1.90205472975194,1.66315191280477,1.72590177749543
1.50631347787696,1.86258411971116,1.72138520149095,1.9842897317391
1.80519438947323,1.22738293511679,1.20218310141196,1.83427759709009
1.37122987239477,1.16291644479279,1.26846105891704,1.79792577380271
1.48412878691825,1.56989835486492,1.35670119518872,1.55337070717551
1.43010327544795,1.41957656056069,1.34005474142884,2.38534927302063
1.67688961337733,1.13349276715316,1.1342027023393,1.74863544172155
1.48382690998749,1.60836540570899,1.44402643089364,3.13218181248092
1.47584762879438,1.38495110702277,1.65990472905928,3.04880568734823
1.68103665930139,1.4956164558603,1.60819996800504,1.22038575139666
1.66792380881269,1.46038246471211,2.12427185474417,1.19324049845239
1.68679299844778,1.11919316229133,2.41474615091064,1.45608946357196
1.39590332361371,1.11260610567065,1.52156061960934,2.17798405752681
1.67592341522312,1.64894271577466,1.32906137842356,1.50745903306128
1.41961925477373,1.71373730557591,1.05682657882858,2.35741662485218
1.56476222334834,1.23364061339163,1.82285925718922,2.09022302662058
1.2153564076594,1.22020488994357,1.27967684487071,1.61572124358771
1.68795422546781,1.30586624195486,1.33878969460066,1.8153364487
1.193860503834,1.30273189920239,1.4354977806472,1.44898770591734
1.22959858216516,2.001645262,1.39697695604829,1.75644275439032
1.14436145181621,2.06786760735712,1.34079835209783,1.69775201387469
1.47768164574738,1.34640732870178,0.839769430668437,1.75931676265709
1.28371593581508,1.431638668774,1.18985628547321,1.81756984338735
1.0887840309195,1.45981224310568,0.960224488668809,1.7085848318276
1.22034003542337,1.40802368477922,1.06688487813999,1.49241789172442
1.25353668474296,1.22460689341544,1.35222099868332,1.9572312249122
1.0903385453381,1.25080304532048,1.35959814102835,1.75996223131157
1.92885910348841,1.09445001083421,1.29267654961371,1.25060023155762
2.32060867701153,1.37607839424073,1.48500035073913,1.3448883536343
1.62886348013818,1.53583448026751,1.67432151926189,1.23814689774362
1.64513401523521,2.02176057426119,1.53167693872078,1.09813384583753
1.37727578006208,0.951899701606156,1.43223957986987,1.50500718877827
1.5516177814149,1.14429847171934,1.51661588373726,2.66990742980442
2.15228017102487,1.47229066968554,1.68832418219982,2.10914979160424
