"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
2.30807032297207,1.46722577541493,0.817711870772021,1.94408805203123
1.86920011917946,1.39486252979842,1.17904460893107,1.72840019335652
1.93060985746533,1.39799245535693,1.27270007667655,1.53326102950311
2.16668789103157,2.04274093466469,1.59420792232761,1.2484755843944
2.42579838397732,1.7236542627621,1.43925820418413,1.33132345759684
2.33604260005427,1.34190500082309,1.12637367159083,1.26504584713934
1.63195944715333,2.260445796763,1.32485934885663,1.9466321039182
1.77988672666961,1.59104551610852,1.43456012731402,2.29579320387321
1.56080779411539,1.94710511268749,1.75213468451919,2.11853868510117
2.15194019148271,1.88798348399987,1.24074410160871,1.66763485383855
2.32116714852942,1.47386435654484,2.01585106758978,1.97206897468855
3.59428561027396,1.57890447521738,1.3479077976162,1.44600656544052
1.59542133972486,1.45113620897151,2.25412899308346,1.81996326394927
1.63394741369317,1.95376218696882,1.62284623073979,1.60254967904072
1.56024446693669,1.64047956742151,1.55491602574314,1.40158735802646
1.59207910015341,1.67772801877464,1.39661792777106,1.41556102218961
1.43159436929193,1.59377769303291,3.55652058036056,1.58504489694843
2.43788465531032,1.77295838693531,1.16193911615017,1.99694180175782
2.22828406816299,1.49133398899969,1.67124716569743,2.02945512665513
1.38981843051255,1.99027722234555,1.45460518007796,1.62495291640463
1.52638190349243,1.27115132914682,2.90766299898426,1.36405565488013
2.77566727962112,1.55352718711339,1.62777272854526,1.66414789405128
1.39450589102663,1.54548846480026,1.9456053339792,2.00121191558331
1.20736321568041,1.58431933322881,1.4818282978359,2.14763174682359
1.15033496960132,1.54278910816575,1.40185487554182,1.96229674225983
1.23961336346183,1.88032704871946,2.43681578219622,2.18603275605182
1.25838517589508,2.45928666428021,1.09529424211565,1.95066275683534
1.32915090327864,1.96071442286258,1.21199391890906,1.55032509162355
1.73212193498572,1.70673232790315,1.70632290482172,2.08635825355552
0.9344148248087,1.77280510992332,2.20902904283792,2.09869773425769
1.23352488164543,1.87420049988599,1.91466770587493,2.33873817416151
1.2110856857003,1.62533414803285,1.8223511139735,1.75411839560962
1.10685858705863,1.87108272217372,1.08656902424858,1.81935562863532
1.18463922374092,1.63860596116141,1.21839534054672,1.28895611400197
2.03357503195374,2.1606663990376,1.4558552294892,1.37980114636145
2.27439385490115,2.18496645630519,1.59544062294781,1.48194290556156
1.67063052918155,1.56338121449588,1.67196691722001,1.5428005343206
2.70669177590902,1.56380862643695,1.56622747878021,2.1690855049589
1.50028701616434,1.66583952199725,1.94894237778245,1.91311097817833
2.05187844338607,1.55984039233131,1.58692984295023,1.65275845146489
1.57589880828975,1.73681039143864,2.47114573271692,2.49287240740032
1.75249411813331,1.67666089771301,2.14095924496388,2.72339550236088
1.74385138145595,1.60459424575334,2.07540619233139,2.35383028003992
1.6812884868029,1.44882272056659,1.33282397068607,1.50571463132221
1.74837216358833,1.41098941841541,1.43216539724918,1.5572370924484
1.63189665421488,1.61600956665696,1.4753270129799,1.78919812229201
1.38152573548079,2.56472202179962,1.92986957039793,1.77957794971491
2.59027144371151,1.79692153393073,1.47681251762097,1.59898058561572
2.25247464816431,2.03945399145035,1.86109425379167,1.50997795291578
2.49656924268977,1.58341998148689,1.81927056483619,1.57018389817474
1.71451369658931,1.94402152387598,1.97804715419724,1.71623805775367
1.6298714550923,1.55248220394563,1.20354665878139,1.86508113748362
2.25922800327913,1.69676868436555,1.54471325090636,2.03944541199009
3.07273943238718,1.92505200563674,1.41985377497555,1.85899654320521
2.85487438788764,1.83208373783445,1.39467294612797,1.83206563675545
2.59449123367408,1.35858344406968,1.66202856407093,2.30902345812159
2.36904025750862,1.1389050628603,1.60881370718092,1.92853660330114
