"model","parameter","n","bias","rmse","correlation","coverage","mean_CI_width"
"Model 1","beta[1]",100,-0.0709169438269554,0.164506660663757,0.487026263071674,0.65,0.309468309542644
"Model 1","beta[2]",100,-0.0596517078010406,0.127754431716611,0.314682428671219,0.65,0.231280020048467
"Model 1","beta[3]",100,-0.0106582903245349,0.0520258784724537,0.49342263233411,0.71,0.113500177481179
"Model 1","beta[4]",100,-0.0201798491076008,0.0730349436117013,0.484013471227714,0.66,0.14619764197954
"Model 1","kappa[1]",100,-0.504997359705196,1.02175732066298,0.465052033173883,0.63,1.8645532572665
"Model 1","kappa[2]",100,-0.630157265169925,1.17978670992522,0.353202671662382,0.6,2.13607621040569
"Model 1","kappa[3]",100,-0.0845942915464188,0.345801658953865,0.513299711586876,0.68,0.769714327607299
"Model 1","kappa[4]",100,-0.308013701267354,0.771407494716185,0.325720686947537,0.6,1.31682578998487
"Model 2","beta[1]",100,-0.00443075486109761,0.117698337599221,0.52075699183013,0.77,0.299352691239384
"Model 2","beta[2]",100,0.00330505563360771,0.0852369302157258,0.473015411131451,0.74,0.203359817766461
"Model 2","beta[3]",100,0.00749194587699782,0.0429927982697649,0.4346988810273,0.78,0.105378801619535
"Model 2","beta[4]",100,0.00268434938414211,0.0659061590573108,0.367388921896398,0.71,0.138831366283796
"Model 2","kappa[1]",100,-0.126277069954983,0.791194117690176,0.562903399681275,0.69,1.86765355248493
"Model 2","kappa[2]",100,0.0891043769786979,1.03070464575543,0.469214528301869,0.71,2.34642667261006
"Model 2","kappa[3]",100,0.154790831601713,0.514751494026539,0.339821045446445,0.75,1.05960247599043
"Model 2","kappa[4]",100,-0.0437221714481513,0.931026663040201,0.378309363901095,0.73,1.90605843652831
"Model 3","beta[1]",100,-0.120426942881496,0.23734282337282,0.0344021129454561,0.85,0.630009367303598
"Model 3","beta[2]",100,-0.102586457712731,0.200022819889294,0.141222951664422,0.83,0.536990475049834
"Model 3","beta[3]",100,-0.00317838928980472,0.0431069713255918,0.314770075869589,0.94,0.149458478496675
"Model 3","beta[4]",100,-0.0613318241205525,0.0979360493870299,0.202489309857454,0.79,0.244228187250087
"Model 3","kappa[1]",100,-0.108582178224115,1.14096833598724,0.0975424449619835,0.91,3.94316608651328
"Model 3","kappa[2]",100,-0.484300036957131,1.74512623302591,0.203493264596213,0.89,6.14619662914397
"Model 3","kappa[3]",100,0.0346883459186914,0.169452164382388,0.259576917430865,0.92,0.695379977199617
"Model 3","kappa[4]",100,-0.192761405816363,0.828277659553085,0.195648617830614,0.87,2.66899007444701
"Model 4","beta[1]",100,-0.0167635036734777,0.153218162207023,0.416010394682077,0.71,0.318755498603614
"Model 4","beta[2]",100,-0.0307190297823196,0.134497713515809,0.470597188050375,0.76,0.285688328860901
"Model 4","beta[3]",100,0.0090963540008164,0.0566521913185018,0.486994440887611,0.69,0.117129242428703
"Model 4","beta[4]",100,-0.00784396515463689,0.0683888659912182,0.372956627784146,0.72,0.154734485288691
"Model 4","kappa[1]",100,-0.0948364406161843,0.951938965260474,0.357896479528758,0.65,1.69339471920606
"Model 4","kappa[2]",100,-0.310933932275136,1.34346326500474,0.444474027807384,0.67,2.48506369986943
"Model 4","kappa[3]",100,0.0146194072978954,0.236006445478819,0.578029272069166,0.68,0.456772432509292
"Model 4","kappa[4]",100,-0.118803737484532,0.579615287440059,0.490509687674337,0.72,1.24825409989537
